Factor	logFC	AveExpr	t	P.Value	adj.P.Val	B
OF-1	0.178239255060729	4.09978664777328	4.28514310669622	2.19581130427413e-05	9.14921376780889e-05	-0.328193070940445
Oxaliplatin	0.262231761133607	4.09748018825911	4.23743354399152	2.69788309299102e-05	0.000109233250815959	-0.52467533478427
Ipatasertib	0.198956777327935	3.01464989878543	4.23460698567395	2.73083127039898e-05	0.000109233250815959	-0.536251785855226
AZD8055	0.0746400599867612	-0.0290055267956883	4.12005830418897	4.44061855289982e-05	0.000174141904035287	-0.999341143388028
Elephantin	0.183014785425102	3.64735946558704	4.05492905833487	5.8253548924553e-05	0.000224052111248281	-1.25735390550992
PCI-34051	0.178173753036435	4.77325321659919	4.04017805538686	6.1915754135875e-05	0.000233644355229717	-1.31525666373257
MG-132	-0.143822911336032	-1.52474629736842	-4.02967812404247	6.4654632582314e-05	0.000239461602156719	-1.35635215453362
Mitoxantrone	0.319072670396761	1.38546316414575	3.99904525622898	7.33175640628477e-05	0.000266609323864901	-1.47567311466469
Wnt-C59	0.141216947368419	4.25756865991903	3.98031985482632	7.91437877675405e-05	0.000282656384884073	-1.54819186193507
MIM1	-0.149799765182184	3.82216166396761	-3.90548939586616	0.000107107029760276	0.000375814139509739	-1.83480124417976
Telomerase Inhibitor IX	-0.178486582076923	0.325686726342105	-3.9000091584393	0.000109486075174289	0.000377538190256168	-1.85559032744821
BPD-00008900	-0.134858959514178	4.33819537854251	-3.89408559528321	0.0001121137741301	0.000380046691966441	-1.87803027977668
MK-8776	-0.256040914979757	3.31096518623482	-3.86291741581115	0.000126951775074577	0.000423172583581924	-1.99557452553295
Vinorelbine	-0.317861101497976	-2.31625619710526	-3.73201994864029	0.000212012256908344	0.000695122153797851	-2.47950034933608
Vinblastine	-0.297309500809718	-2.49362185161943	-3.72689169868805	0.000216249799023586	0.000697579996850278	-2.4981387561733
Podophyllotoxin bromide	-0.199876905208502	0.0549142272601215	-3.64322015305585	0.000297706526893677	0.000944651983823268	-2.79881284086375
Palbociclib	0.205878866396759	3.52049469230769	3.63918212545386	0.000302288634823446	0.000944651983823268	-2.81315994838947
KRAS (G12C) Inhibitor-12	0.180242919028342	4.56375068218624	3.62605262115952	0.000317649248938653	0.000977382304426626	-2.85970481419117
Bortezomib	-0.124265720647774	-5.17930847975709	-3.5716614368199	0.000389431296121069	0.00118009483673051	-3.05082445076679
AZD1208	0.132870210526317	5.23627421862348	3.56016429705252	0.000406435316853011	0.00121323975180003	-3.09087195598138
GSK2606414	0.131678914979758	4.08193885425101	3.53501544708639	0.000446084360713116	0.00131201282562681	-3.17804415979865
AZD3759	-0.110647959514173	3.07769926315789	-3.46461494877627	0.000577181477349479	0.00167298978941878	-3.41894316958769
VE821	-0.198104319838055	4.12987389271255	-3.45653501363877	0.000594339965357834	0.00169811418673667	-3.4462962071195
Vincristine	-0.302848715536842	-0.949530927808907	-3.45125482965025	0.000605808974429965	0.00170650415332384	-3.46413835904058
Dabrafenib	0.174581161943318	4.33811827732794	3.3375296749764	0.00090898928432828	0.00252269533139828	-3.84210604708356
Zoledronate	0.108768793522271	3.95531505263158	3.33386387671458	0.000920783795960371	0.00252269533139828	-3.85408815526085
Sorafenib	0.141826502024291	2.76300170850202	3.32383663897919	0.000953776516207271	0.00257777436812776	-3.88679908390706
Nilotinib	0.179613914979754	3.44958746356275	3.31618364397842	0.000979692646199793	0.00261251372319945	-3.91170133827199
OSI-027	0.0335974939271226	4.44026025708502	3.25934887264395	0.00119361319078113	0.00314108734416086	-4.09491817112516
AZD2014	0.14659320931174	2.02968063016194	3.24863714359992	0.00123848970239807	0.00321685636986512	-4.12910959405749
Cisplatin	-0.230381311740887	3.53757843724696	-3.14156523097731	0.00178123439616673	0.00456726768247881	-4.46494432775898
Uprosertib.1	0.185825187449395	2.47793254959514	3.12025645213581	0.00191254735480866	0.00484189203749027	-4.53049040565821
ULK1_4989	-0.1572749291498	2.6644608208502	-3.11302535808327	0.00195909672596273	0.00489774181490682	-4.55263588699405
Picolinici-acid	0.0860301983805671	5.34018399797571	3.03667789828631	0.00251832254208668	0.00621808035083132	-4.78343540764213
Sinularin	0.0909200121457521	3.64346946761134	3.01896111179073	0.00266748390088861	0.00650605829485026	-4.83620451693474
PAK_5339	0.0783391659919026	2.27375434817814	2.98853784615251	0.00294264125961344	0.00709070183039382	-4.92612517872563
Savolitinib	-0.0998842834008107	2.6415424534413	-2.97732298533048	0.00305045962457885	0.00726299910614013	-4.95905085444787
ZM447439	0.0877207085020224	3.05062080769231	2.92269096277433	0.0036292099991557	0.00853931764507223	-5.1177359102359
Entospletinib	0.0952097246963595	3.75252844939271	2.8757601762341	0.00420453812467023	0.00977799563876797	-5.25178450146475
AZD5363	0.151428384210529	2.48162158522267	2.79276515030851	0.0054285740116199	0.0124794804864825	-5.48370305368682
VE-822	-0.163055263157897	3.31412988663968	-2.76210107627824	0.00595693678618399	0.0135384926958727	-5.56772521807918
GNE-317	0.0933735342647762	0.593678353851417	2.63268020937587	0.00873650986539152	0.0196326064390821	-5.91242775434169
Dactinomycin.1	-0.136098344129559	-4.40327107894737	-2.61644784139669	0.00915691455443821	0.0202725313621228	-5.95452702865936
Taselisib	0.169341955870445	1.80339238522267	2.61391951657196	0.0092240017697659	0.0202725313621228	-5.96106154236984
GSK343	0.0681487570850168	2.80281943117409	2.55941599389365	0.0107812957997774	0.0234375995647335	-6.10043220715025
I-BRD9	0.100242287449393	4.20698722469636	2.55117287814632	0.011036203140386	0.0237337701943784	-6.12126171392665
WZ4003	0.0936122631578957	3.85434325303644	2.4989056863877	0.0127811718300091	0.0271939826170407	-6.25181165740031
Ibrutinib	0.135739198380568	4.81961055465587	2.48601989238439	0.0132473396017079	0.0278891360035955	-6.28359222187081
ABT737	0.170549572591094	1.42602015487854	2.4355810679946	0.0152202869935402	0.031708931236542	-6.40644888027324
Selumetinib	0.181597283400806	4.02218147165992	2.40761253255193	0.0164225818041651	0.0338609934106496	-6.47351380629429
AZD1332	0.103006882591094	3.58429113765182	2.37062354217107	0.0181407450078117	0.0370219285873709	-6.56104634900989
Topotecan	0.165500536032388	0.356940204753036	2.35893590301881	0.018715530616834	0.0378091527612808	-6.5884291406271
Dactolisib	0.125107987935222	-1.48591217526316	2.31634196129664	0.0209476784984363	0.0418953569968727	-6.68710161896784
Pevonedistat	-0.159517032680162	1.35493374090688	-2.24471197344865	0.0252281006888728	0.0499566350274709	-6.84906969357518
CDK9_5576	0.105175732068826	-0.179662254184211	2.21778409647793	0.0270234339711167	0.0529871254335621	-6.90866932860963
AZD5153	0.115691569230769	1.92998387206478	2.12483454848857	0.0340959222085498	0.0656582356849313	-7.10897374258336
Cediranib	-0.0713784817813758	2.18526377935223	-2.12428234366311	0.0341422825561643	0.0656582356849313	-7.11013858481074
Ulixertinib.1	-0.0868161303238864	1.85879530244939	-2.07608725635943	0.0384021494654151	0.0731469513626954	-7.21065747247851
LGK974	0.0837325425101278	4.35193665182186	2.0692869499672	0.0390382584164866	0.0736570913518616	-7.22465818200928
Irinotecan	0.140129773279352	3.12086231983806	2.06109795361	0.0398161601726072	0.0744227292945929	-7.24145805647577
Gallibiscoquinazole	-0.0537010121457508	2.73513615789474	-2.05592854051926	0.0403139830376463	0.0746555241437894	-7.25202948643278
GDC0810	-0.0729727327935263	4.68364524089069	-2.0060229705987	0.0453981335670064	0.0832993276458834	-7.35274356344094
Pictilisib	0.0905642902497985	1.08768678081032	1.98965564003703	0.0471794190060768	0.0857807618292305	-7.3852441835322
Ruxolitinib	0.0651644939271216	4.75237469230769	1.93637599262946	0.0533913069287071	0.0962005530246976	-7.48922615883248
PD0325901	0.121387388123077	0.506587243061538	1.92277899631562	0.0550820397340175	0.0983607852393171	-7.51531724713344
IGF1R_3801	-0.114880020242916	1.92135910566802	-1.86807365799965	0.0623432039066842	0.11034195381714	-7.61845957560545
Sapitinib	-0.105205267206478	4.42339122874494	-1.85808667943378	0.0637510031584997	0.11184386519035	-7.63697239912329
Dactinomycin	0.0843479242914993	-2.02648395809717	1.85043733751371	0.0648470063810449	0.112777402401817	-7.65108577100549
BIBR-1532	0.059988894736839	4.87927693319838	1.83229240348764	0.0675092906608534	0.116199765712256	-7.68433429653174
Teniposide	0.138357586890688	1.13899615636032	1.82916687476914	0.0679768629416696	0.116199765712256	-7.6900288411536
AMG-319	0.0773360931174052	4.77002686437247	1.76899680191491	0.0775109920182821	0.131374562742851	-7.79778503304735
CDK9_5038	0.0982746457975692	-2.27144358762753	1.74335199932908	0.0818938772694444	0.137636768520075	-7.8426297826176
CZC24832	0.0537146477732771	5.08057434412955	1.64168125733607	0.101292091233016	0.168820152055026	-8.01405044867932
Sabutoclax	0.0709006936032396	-0.548132387732793	1.62668315838376	0.104441662153251	0.172630846534299	-8.03847590489791
Crizotinib	0.0678102510121499	3.03819869635628	1.60915447230701	0.108220982421688	0.177411446592932	-8.06674150997092
AGI-6780	0.0538580121457528	4.36235042307692	1.58670212421999	0.113219559031425	0.184096843953537	-8.10250397120031
Entinostat	-0.0785984198380572	2.2019385257085	-1.57475085354271	0.11595372726179	0.187022140744823	-8.12133729770897
Rapamycin	0.0796325821862354	-2.21356325668016	1.56000975620061	0.119397537141998	0.191036059427196	-8.14437277086232
Tozasertib	-0.0608806331983804	2.84739271578947	-1.54326151732512	0.12340724575038	0.195884517064095	-8.17028440200603
AZD4547	-0.0828293643724685	3.37717135020243	-1.49317122813008	0.136030347216461	0.214221019238521	-8.24612684251517
JAK_8517	0.0869823951417024	2.75686275222672	1.45774867151166	0.145544827974106	0.22741379370954	-8.29826367558911
NU7441	0.0356247408906887	2.71767123684211	1.4534652686069	0.14672916258128	0.227487073769426	-8.3044841219283
Fludarabine	0.0717952995951396	4.42694016801619	1.41903933101738	0.156517771131206	0.240796570971086	-8.35381896213816
RVX-208	-0.0493387408906942	4.9542434757085	-1.37716358943221	0.169084964164248	0.258144983456867	-8.41224856212342
Talazoparib	0.0966445384615375	3.13252432995951	1.36967293610161	0.171410877318979	0.259713450483302	-8.42251723864518
BMS-536924	-0.0573055502024296	1.86262127307692	-1.36114132923255	0.174089187752706	0.261788252259708	-8.43414521556258
Buparlisib	-0.0429305834623472	1.18247683984777	-1.313318490672	0.189684923219115	0.283111825700171	-8.49798902208228
IRAK4_4710	0.0337664210526354	4.96621508097166	1.28733511807654	0.198579925831325	0.294192482713074	-8.53172637068245
RO-3306	0.0273071214574929	2.94813160121458	1.27395305962825	0.203278688142572	0.298939247268489	-8.54884066031655
SCH772984	-0.0865277932064767	2.78293197546154	-1.2494518026584	0.212091151307245	0.309622118696709	-8.57971480201271
Nelarabine	0.0431613562752959	6.06584500202429	1.24327323697963	0.214356501234585	0.310661595992152	-8.58740638013691
AZD5582	-0.0927599396761098	2.55779409898785	-1.23395831508424	0.217804784331909	0.313388178894833	-8.59893072068211
ML323	0.0454481214574853	4.70119691093117	1.21239375045386	0.225940819598436	0.322772599426337	-8.62527965940296
Linsitinib	0.0560036032388669	3.56410689068826	1.17999147609344	0.238571141313357	0.337612317983531	-8.66400249426644
EPZ004777	0.045165753036434	5.30587167408907	1.17714341348493	0.239704745768307	0.337612317983531	-8.66735624981298
Navitoclax	0.0831779652226694	2.08852218945344	1.13473271320293	0.257037262533882	0.359492674872562	-8.71634353114587
Eg5_9814	-0.0643980234817825	-2.39982308016194	-1.1120127259283	0.266673201477924	0.368576190385165	-8.74185119079451
LCL161	-0.0379651821862366	5.12600198785425	-1.10652734751975	0.26903652917808	0.368576190385165	-8.74793268409922
GSK591	0.0365560404858289	4.53627131174089	1.10429434349914	0.270002717610744	0.368576190385165	-8.75039978596023
AZ960	-0.0614325113360323	1.93218497145749	-1.10221744888264	0.270903499933096	0.368576190385165	-8.75268996135359
Camptothecin	0.0772809501740892	-1.8491903947915	1.0936498132677	0.274641243529962	0.37113681558103	-8.76209207194756
AZD5991	0.093527485829958	4.02354072672065	1.03607801508787	0.300672314746161	0.401436215357857	-8.82337706907165
5-Fluorouracil	-0.0794219919028363	4.78618298380567	-1.03520967140518	0.301077161518393	0.401436215357857	-8.82427616674616
VSP34_8731	-0.0360011234817827	2.32655072773279	-1.02942125976549	0.303785187871842	0.402364487247473	-8.83025040676777
Osimertinib	-0.037172183400809	1.79107680708502	-0.982168082657074	0.326497506555169	0.429601982309433	-8.87777277565253
Fulvestrant.1	-0.0323253036437281	4.82289795546559	-0.952847441841649	0.341133056639301	0.44592556423438	-8.90614230980483
MIRA-1	0.0381270121457478	5.39412746963563	0.940048006906716	0.347652061090281	0.451496183234132	-8.91825797377567
Alisertib	-0.0656313120242924	2.77673622536437	-0.931400812392847	0.352100929548313	0.45432378006234	-8.926350809033
Olaparib	0.0429282469635632	4.14353135829959	0.907232156606421	0.364726082639352	0.467597541845323	-8.94857477903269
PLX-4720	0.0393610728744926	4.46072236639676	0.887914354185344	0.375018647768176	0.477730761488122	-8.96591946416624
VX-11e	-0.0461952093117413	2.68570994595142	-0.883192494897732	0.377561588081705	0.477926060862918	-8.97010244122509
BMS-345541	0.0352250445344144	3.51360049797571	0.834457431282841	0.404426343453474	0.508712381702482	-9.01197642299574
P22077	-0.0399710931174102	4.09891523481781	-0.826684403879111	0.40881481494473	0.511018518680913	-9.01843604889903
Tamoxifen	-0.027031716599192	3.54246647368421	-0.816437854578602	0.414643020079311	0.515084496992933	-9.0268591306636
PFI3	0.0208779595141717	5.31713382995951	0.78943623052683	0.430235575741093	0.528092255828147	-9.04855371284413
Trametinib	0.0794657512267207	0.115927318589069	0.789162818961905	0.43039518849994	0.528092255828147	-9.04876966515029
Epirubicin	0.0410975654655864	-0.999660419331984	0.75408672240681	0.451156205576706	0.550190494605739	-9.07585539130206
Afatinib	-0.0346735496761146	2.11053035621457	-0.738375883230072	0.460636472055961	0.558347238855711	-9.0875889554776
Cytarabine	-0.0470898879757076	2.0104698041498	-0.615065718924297	0.538794354471367	0.649149824664298	-9.17112021840751
Pyridostatin	-0.0259756801619395	3.35788162145749	-0.60562695672977	0.545040456453116	0.652743061620498	-9.17688802040586
LJI308	0.0220264979757125	5.18291813157895	0.597175290348416	0.550663782980287	0.65555212259558	-9.18197705094363
NVP-ADW742	0.0280141392712507	2.73235248097166	0.582219692914706	0.5606841569777	0.663531546719171	-9.19080731578782
AGI-5198	0.0144987085020283	4.72734457287449	0.573549557349774	0.566533495771505	0.663815611421623	-9.19582403568505
Dihydrorotenone	0.0292200813643726	0.881667459657895	0.572029022888385	0.567562347765488	0.663815611421623	-9.19669610126566
Carmustine	-0.0183741497975713	6.4254969048583	-0.564398903355705	0.572738683638908	0.665975213533614	-9.20103726138085
MN-64	0.0179896518218587	4.44058487854251	0.540301763590499	0.589232282629971	0.681193390323666	-9.21436505233723
Ulixertinib	0.0268954987854255	2.80739945789474	0.531031707897303	0.595635315629188	0.684638293826653	-9.21933751034833
Alpelisib	0.0275280040485821	3.51493126518219	0.509544584474147	0.610597951612025	0.697826230413743	-9.23053267513965
Fulvestrant	-0.0148750040485828	3.02382134817814	-0.48267897452028	0.629537373247527	0.711075279402288	-9.24388036315827
GSK1904529A	0.0191638947368418	4.67966980161943	0.481116459478762	0.630646617882874	0.711075279402288	-9.24463444979541
BDP-00009066	-0.0185029838056683	2.59038674696356	-0.478006350995228	0.632856998668037	0.711075279402288	-9.24612815158891
Cyclophosphamide	-0.0145113927125484	5.0372291902834	-0.451961216059562	0.651495171286843	0.727927565683624	-9.25825702616677
AZ6102	-0.0128242105263152	2.67322998380567	-0.411003842939157	0.681247830236918	0.756942033596576	-9.27595720094314
PD173074	-0.0218482064777321	3.91901486842105	-0.387974674161955	0.69820179278	0.771493693679559	-9.28517207100869
GSK2578215A	-0.0113754331983769	4.87901150202429	-0.373751708550456	0.708749296284678	0.778695711065944	-9.29059804674934
Temozolomide	-0.015119801619436	5.8605017145749	-0.368703528089984	0.712506575625339	0.778695711065944	-9.29247520220695
IWP-2	-0.00992793117408919	2.97546534210526	-0.340803608733185	0.733396229448787	0.797169814618247	-9.30238957285001
Dinaciclib	0.0155015866396777	-2.51371982165992	0.326899758198895	0.743882078505871	0.804196841627968	-9.3070394005766
KU-55933	0.00586072469635823	4.57333948380567	0.319675471627432	0.749349416350536	0.805752060591975	-9.30937898307201
Gemcitabine	-0.0337427194040489	-0.368611452139271	-0.313311998498684	0.754175789680312	0.80660512265274	-9.31139650137821
WEHI-539	-0.0141985009716614	2.49135571672065	-0.256072846369537	0.798001116727042	0.848937358220257	-9.32772113098637
I-BET-762	0.0101414696356286	3.50621978340081	0.21673202985996	0.828506601346782	0.876726562271727	-9.33703847312174
XAV939	-0.00582901214574605	4.54908697975709	-0.206352834864326	0.83660027380513	0.879944306987738	-9.33923819607745
IAP_5620	0.0107995303643671	5.4043194291498	0.20155593191379	0.84034681317329	0.879944306987738	-9.34021837099847
AZD5438	-0.0096884502024297	2.46497664615385	-0.182886590425147	0.854961988419825	0.890585404603984	-9.34381374476322
Foretinib	0.00720561157894717	1.19175313995951	0.171465497558713	0.863927925225312	0.891055646902277	-9.34584110636707
OTX015	-0.0093180040485854	2.70087181578947	-0.170961521102095	0.864323977495209	0.891055646902277	-9.34592755710111
Daporinad	-0.011999635627534	-4.2845723562753	-0.16132630808965	0.871902316966355	0.894096326899894	-9.34753142150561
EPZ5676	-0.00566914574898369	5.88305633805668	-0.155850610066763	0.876214400361896	0.894096326899894	-9.34840145330829
Mirin	-0.00588394331983544	5.14829768825911	-0.128014517781038	0.898189546063951	0.911867559455788	-9.35235984356587
Vorinostat	0.00244359352631585	0.998100622147773	0.0662993986184549	0.947166267373009	0.952513047224118	-9.35836746439032
Acetalax	-0.00476678947369091	4.69711009919028	-0.0655652265333183	0.947750481987998	0.952513047224118	-9.3584159640309
AT13148	-0.001030040485829	3.83673157894737	-0.0172621975983691	0.986234408082171	0.986234408082171	-9.36042026376208
