gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SPP1	27588.17218	4.774323351	0.241031282	19.80789927	2.54E-87	6.27E-85
GJB2	1645.043265	4.542048055	0.229556153	19.78621784	3.91E-87	9.51E-85
GTSE1	477.7344044	3.09414181	0.156402766	19.78316554	4.16E-87	1.00E-84
CENPA	284.0792146	3.620587047	0.183046658	19.77958565	4.46E-87	1.07E-84
RRM2	2338.080494	3.214975644	0.162686835	19.76174441	6.36E-87	1.50E-84
CDCA3	500.8173472	3.152526407	0.15963788	19.74798473	8.35E-87	1.96E-84
MNX1-AS1	70.78498959	5.206964233	0.263773653	19.7402742	9.72E-87	2.27E-84
HMGB3	12786.81323	3.492370851	0.177098832	19.71989767	1.46E-86	3.37E-84
IGSF9	1243.676557	3.234573452	0.16444595	19.66952331	3.93E-86	9.00E-84
FER1L4	868.4726637	4.17634763	0.212387314	19.66382808	4.40E-86	1.00E-83
EFNA4	881.4144543	2.172633331	0.110552296	19.65253918	5.50E-86	1.24E-83
CCNB2	890.5672108	3.041550071	0.155080251	19.61274916	1.20E-85	2.66E-83
GPT2	3195.012674	3.407294202	0.174053455	19.5761365	2.47E-85	5.44E-83
FERMT1	1397.115426	3.231077785	0.16527679	19.54949504	4.17E-85	9.00E-83
CKAP2L	472.8959942	3.15331464	0.161358108	19.54233769	4.79E-85	1.03E-82
AURKB	620.1289385	3.440760415	0.176107547	19.53783624	5.24E-85	1.12E-82
LINC02014	40.87310048	3.959574918	0.202861313	19.51863005	7.63E-85	1.60E-82
TMEM177	505.6427051	1.568958372	0.080389887	19.51686258	7.89E-85	1.64E-82
FOXM1	1556.062158	3.361249166	0.172320097	19.50584534	9.79E-85	2.03E-82
GCNT3	2307.162693	5.146288996	0.264038143	19.49070286	1.32E-84	2.69E-82
SPTBN2	2433.544419	2.501022535	0.128449921	19.47079862	1.94E-84	3.90E-82
EEF1A2	2816.117294	6.359825348	0.327358673	19.42769775	4.50E-84	8.99E-82
NEIL3	218.8307685	4.28042319	0.220514044	19.41111374	6.22E-84	1.23E-81
SFXN1	2138.154754	1.504562381	0.077527179	19.40690232	6.75E-84	1.33E-81
STX1A	778.1986263	3.054500465	0.15781878	19.35448032	1.87E-83	3.65E-81
PSAT1	1239.967396	3.48445323	0.180330802	19.32256271	3.47E-83	6.74E-81
PAICS	5789.704855	1.851164994	0.095878612	19.307382	4.66E-83	8.99E-81
MND1	146.645954	2.895548577	0.150177627	19.2808252	7.78E-83	1.49E-80
TTK	466.0268424	3.289635747	0.170698343	19.27163261	9.30E-83	1.78E-80
CELSR3	785.5580198	3.377039585	0.175317249	19.26244911	1.11E-82	2.11E-80
KIF11	1166.240031	2.687844338	0.139636928	19.24880746	1.44E-82	2.71E-80
POLQ	290.1041055	3.306811815	0.171911573	19.23553931	1.87E-82	3.49E-80
MKI67	3395.174995	3.10551661	0.161705657	19.20474936	3.38E-82	6.28E-80
CDC45	466.9796546	3.149376614	0.164105909	19.1911226	4.39E-82	8.03E-80
NDC80	526.7276433	3.121091749	0.162915272	19.15776042	8.34E-82	1.51E-79
MYBL2	2287.17681	3.80692925	0.198735129	19.15579428	8.66E-82	1.56E-79
EPN3	861.8624014	3.067358187	0.160300021	19.13510786	1.29E-81	2.30E-79
ITPKA	621.9159292	5.15877421	0.270081122	19.10083226	2.48E-81	4.38E-79
PRAME	1083.496312	7.544237876	0.395201418	19.08960226	3.08E-81	5.38E-79
NCAPG	670.8166209	3.207212628	0.168109887	19.07807261	3.84E-81	6.68E-79
ZWINT	1376.127814	2.595228536	0.136286552	19.0424403	7.59E-81	1.31E-78
HMMR	668.9776473	3.037036026	0.159658101	19.02212289	1.12E-80	1.92E-78
TRPM8	331.9899742	6.636826376	0.349020572	19.0155736	1.27E-80	2.16E-78
PPAT	940.2617711	1.930336939	0.101708488	18.97911361	2.54E-80	4.30E-78
RMI2	674.0062324	2.281213241	0.120543628	18.92437842	7.18E-80	1.19E-77
PKMYT1	518.0707605	2.975981637	0.157262656	18.92363843	7.28E-80	1.21E-77
FGL1	2135.835294	7.400815823	0.391323171	18.91228625	9.04E-80	1.49E-77
HS6ST2	1976.197781	3.681401039	0.194725904	18.9055537	1.03E-79	1.68E-77
PERM1	140.2378034	3.032045923	0.16051544	18.88943468	1.39E-79	2.27E-77
OTX1	268.8393929	3.326840957	0.176399232	18.85972472	2.44E-79	3.97E-77
NCAPH	615.697936	3.004924197	0.159448992	18.84567692	3.19E-79	5.11E-77
HTR3A	384.7974671	5.946023622	0.315630878	18.83853587	3.65E-79	5.82E-77
NUSAP1	1318.985598	2.556218331	0.135719129	18.8346208	3.93E-79	6.24E-77
RGS17	532.1076635	3.732397847	0.198290693	18.82285949	4.91E-79	7.72E-77
PPP1R14B	4169.315707	2.070990615	0.110273204	18.78054276	1.09E-78	1.69E-76
SLC2A1	7878.965395	3.502917251	0.186640297	18.76827944	1.37E-78	2.12E-76
MYO19	2203.505398	1.653644319	0.088130688	18.76354717	1.50E-78	2.31E-76
MDK	13796.28999	3.060277451	0.163192852	18.75252143	1.85E-78	2.81E-76
AC073585.1	44.30436711	3.741544443	0.199805664	18.72591783	3.04E-78	4.60E-76
PCLAF	770.5512443	2.820145191	0.1509498	18.68266933	6.85E-78	1.03E-75
BRIP1	347.2053807	2.687261865	0.143944748	18.66870384	8.90E-78	1.32E-75
RCC1	2913.466128	1.727512107	0.092566949	18.6622993	1.00E-77	1.48E-75
AC004816.1	183.9572776	2.907680525	0.156094437	18.62770111	1.92E-77	2.81E-75
PPP1R14B-AS1	65.82405762	3.495031111	0.18773402	18.61693	2.34E-77	3.41E-75
AC140479.2	71.39626549	4.158326781	0.223530232	18.60297259	3.04E-77	4.40E-75
MNX1	115.636094	4.311591712	0.232187939	18.56940427	5.68E-77	8.16E-75
AC080037.2	74.65033106	5.312259216	0.286297791	18.55501295	7.43E-77	1.06E-74
RAB26	170.503084	3.636296407	0.196693137	18.48715446	2.62E-76	3.70E-74
ESPL1	665.7290655	3.115589073	0.16856027	18.48353154	2.80E-76	3.94E-74
CDCA5	1008.854793	2.965155952	0.160531255	18.47089503	3.54E-76	4.94E-74
SPINK1	9107.581388	6.640425048	0.359651427	18.46350258	4.06E-76	5.62E-74
UNC5CL	718.5936922	3.10061322	0.168204488	18.43359384	7.06E-76	9.67E-74
EME1	192.1660547	2.749493397	0.149322713	18.41309563	1.03E-75	1.40E-73
ENTPD8	230.9108057	4.662749239	0.253547499	18.39004233	1.58E-75	2.14E-73
OCIAD2	4999.363885	2.18107892	0.118615485	18.38780925	1.64E-75	2.22E-73
CDCA2	268.4242498	2.963558745	0.161211317	18.38306889	1.80E-75	2.41E-73
PVT1	669.9017585	2.733868095	0.148748404	18.3791424	1.93E-75	2.58E-73
RHBDL2	470.1525856	2.676754011	0.14565431	18.37744455	1.99E-75	2.65E-73
TFAP2A	716.4706022	3.73811419	0.203524293	18.3669189	2.42E-75	3.21E-73
PLPP2	3855.351958	2.414216395	0.131555883	18.35126138	3.23E-75	4.26E-73
KISS1R	80.75869692	6.252439485	0.341076692	18.33147686	4.64E-75	6.07E-73
CCNA2	910.7465602	2.894543848	0.15800627	18.31917079	5.82E-75	7.55E-73
MMP13	1451.596703	6.124611181	0.336205098	18.21688968	3.79E-74	4.81E-72
VIL1	1159.995051	6.95543952	0.382704153	18.1744553	8.22E-74	1.04E-71
IQANK1	1752.856384	2.268916913	0.124861745	18.17143364	8.69E-74	1.09E-71
TICRR	253.5757633	2.920055552	0.160871929	18.15142991	1.25E-73	1.56E-71
PRC1	1456.416298	2.516008791	0.13863206	18.14882357	1.31E-73	1.63E-71
XDH	1048.383623	4.069821756	0.224698873	18.1123372	2.55E-73	3.13E-71
NME1	2764.829236	2.188344619	0.121010725	18.08388983	4.27E-73	5.21E-71
RUNDC3A-AS1	73.7411079	3.752870394	0.207554591	18.08136538	4.47E-73	5.43E-71
C17orf53	292.6073869	2.727703735	0.150896682	18.0766316	4.87E-73	5.90E-71
B4GALNT4	511.7581688	4.740110778	0.262715629	18.04274378	9.00E-73	1.08E-70
GPRIN1	459.2658769	2.699637672	0.149677084	18.03641279	1.01E-72	1.21E-70
GINS2	532.7085245	2.840939051	0.157556854	18.0311994	1.11E-72	1.32E-70
PBK	425.897363	3.383985644	0.187755305	18.02338232	1.28E-72	1.52E-70
CABYR	580.3255963	4.645472559	0.258259701	17.98760141	2.44E-72	2.88E-70
TFR2	150.8583778	2.95186179	0.164582721	17.93542946	6.24E-72	7.30E-70
FAM111B	532.9575991	2.732860409	0.15263744	17.90425999	1.09E-71	1.27E-69
KIF15	363.274559	2.68127885	0.149774474	17.90210826	1.14E-71	1.32E-69
HHIPL2	428.6053179	6.033651412	0.337834438	17.85978792	2.43E-71	2.78E-69
AL390719.1	262.0112411	2.831542854	0.158589343	17.85455944	2.66E-71	3.05E-69
C1orf112	424.4719001	1.739286846	0.097519868	17.83520514	3.77E-71	4.29E-69
GRHL3	159.0322079	3.511329343	0.197270148	17.79959806	7.12E-71	8.03E-69
CCNE1	408.7165172	3.282785305	0.184846949	17.7594779	1.46E-70	1.64E-68
SPC24	384.5169613	2.658824298	0.150190296	17.70303657	3.97E-70	4.44E-68
CENPI	240.2635532	2.739805945	0.154825686	17.6960685	4.50E-70	5.01E-68
FOXD3-AS1	51.84310934	6.97994104	0.394641924	17.68677024	5.30E-70	5.87E-68
LYPD1	252.7096182	4.074343238	0.230638083	17.66552683	7.73E-70	8.50E-68
KNL1	480.7769017	2.626952167	0.14876355	17.65857408	8.74E-70	9.59E-68
AL162595.1	50.88757377	2.353469659	0.133277813	17.65837544	8.77E-70	9.59E-68
STRA6	709.5114055	4.476230113	0.253527292	17.65581166	9.18E-70	1.00E-67
AC020907.1	49.67633159	5.93709726	0.336448758	17.64636402	1.09E-69	1.18E-67
BCL2L15	639.851316	3.524083367	0.199912037	17.62816998	1.50E-69	1.62E-67
NECTIN4	2981.084802	2.338665578	0.132858521	17.60267655	2.35E-69	2.51E-67
LINC01270	146.8490032	2.883497604	0.163911375	17.591809	2.85E-69	3.03E-67
ORC1	325.3740629	2.741229534	0.15597945	17.57429924	3.88E-69	4.10E-67
PCAT6	204.7449388	2.709009109	0.154183179	17.57006914	4.18E-69	4.40E-67
HIST1H2BD	941.3685844	2.626866148	0.149520917	17.56855292	4.29E-69	4.51E-67
BARX1	696.2658943	7.531165925	0.429151963	17.54894903	6.06E-69	6.31E-67
KDELR3	2334.21515	2.230288866	0.127264328	17.52485472	9.26E-69	9.61E-67
FEZF1	162.6029053	5.633411695	0.321544664	17.51984195	1.01E-68	1.05E-66
SKA1	259.6985398	3.0207542	0.172550043	17.50653986	1.28E-68	1.32E-66
HELLS	712.4323294	2.389140583	0.1365266	17.4994513	1.45E-68	1.49E-66
KNTC1	1336.465761	2.123465413	0.121578195	17.4658409	2.61E-68	2.67E-66
CNOT11	3520.982687	1.125831371	0.064481443	17.45977318	2.90E-68	2.94E-66
PAEP	3206.657864	7.440280979	0.426255063	17.45499729	3.15E-68	3.19E-66
DGCR5	348.9964261	3.648169234	0.209374704	17.42411647	5.41E-68	5.42E-66
SALL4	118.5071026	3.414801662	0.19608067	17.41528967	6.32E-68	6.31E-66
CA9	932.0366777	5.595655412	0.321506453	17.40448866	7.63E-68	7.58E-66
PIMREG	292.6727279	3.167694054	0.182189456	17.38681329	1.04E-67	1.02E-65
CDT1	736.8667868	2.726070356	0.157006591	17.36277658	1.58E-67	1.55E-65
MCM4	3983.580668	2.203830938	0.127064074	17.34424901	2.18E-67	2.13E-65
DMBX1	73.02806954	6.482506745	0.373933542	17.33598626	2.52E-67	2.46E-65
KIFC1	1115.576642	2.731155086	0.157548572	17.33532113	2.55E-67	2.48E-65
PAFAH1B3	1607.144794	2.216992515	0.128019923	17.3175586	3.47E-67	3.36E-65
PPP1R14BP3	651.7389308	2.035082675	0.117552243	17.31215525	3.81E-67	3.68E-65
ONECUT1	42.57718858	6.67366207	0.385648305	17.30504706	4.31E-67	4.14E-65
TK1	2669.564642	2.634704755	0.152377436	17.29064893	5.53E-67	5.28E-65
PLEK2	860.2363203	2.720909982	0.157517947	17.27365062	7.43E-67	7.08E-65
SYT7	2977.726287	3.43160701	0.198990115	17.24511293	1.22E-66	1.16E-64
ESCO2	236.0464167	2.629204344	0.152524899	17.23786977	1.38E-66	1.31E-64
DNA2	397.7645085	2.233952769	0.1296102	17.23593334	1.43E-66	1.35E-64
CHAF1B	587.0037741	1.921416453	0.111478018	17.23583256	1.43E-66	1.35E-64
RDM1	37.67770998	3.589746262	0.208302812	17.23330675	1.49E-66	1.40E-64
ASF1B	839.9749025	2.353369587	0.136814922	17.20111782	2.60E-66	2.43E-64
SLC25A10	794.6366093	2.192570651	0.127498556	17.1968273	2.80E-66	2.61E-64
PDIA4	21346.3235	1.764084613	0.102600002	17.19380679	2.95E-66	2.74E-64
B3GNT6	819.6105815	5.758740356	0.334963822	17.19212639	3.04E-66	2.81E-64
BUB1	1082.059413	2.647737818	0.154023615	17.19046663	3.13E-66	2.89E-64
PITX1	694.4264145	4.543844535	0.264498306	17.17910636	3.81E-66	3.49E-64
SLC24A2	53.69461964	5.108445104	0.298211536	17.13027326	8.82E-66	8.03E-64
C11orf86	101.3034391	7.77683881	0.454904304	17.09554897	1.60E-65	1.45E-63
NMU	244.12997	4.584815138	0.268237648	17.09236259	1.69E-65	1.52E-63
HNF4G	400.8099834	3.510898349	0.205675908	17.0700515	2.48E-65	2.22E-63
AKR7A3	458.1307464	5.022523311	0.294320762	17.06479445	2.71E-65	2.42E-63
POLE2	284.5176403	2.351169668	0.137829292	17.05856307	3.02E-65	2.68E-63
AC011294.1	64.43414706	4.904573225	0.287700796	17.0474788	3.65E-65	3.24E-63
YBX2	256.1740266	4.739765993	0.278185911	17.03812379	4.28E-65	3.79E-63
AURKA	1051.669468	2.632111464	0.154658396	17.01887215	5.95E-65	5.25E-63
FGB	6647.184865	8.640677475	0.508487352	16.99290543	9.27E-65	8.12E-63
TONSL	1009.271423	2.11600195	0.124538514	16.99074353	9.62E-65	8.40E-63
CENPU	711.881121	2.374664258	0.139923778	16.97112734	1.34E-64	1.17E-62
CNTD2	185.2562822	4.300771011	0.25357338	16.96065658	1.61E-64	1.39E-62
TFF1	1046.010299	8.121797452	0.479443527	16.94005029	2.28E-64	1.96E-62
MSTO1	702.3359557	1.479531402	0.087389658	16.93028017	2.69E-64	2.30E-62
MMP1	4198.655467	4.910113564	0.29010707	16.92517719	2.93E-64	2.51E-62
CGREF1	328.1135605	4.122456633	0.243708969	16.91549002	3.46E-64	2.95E-62
KIF23	826.2212131	2.579621843	0.152562826	16.90858713	3.89E-64	3.31E-62
KAT2A	3012.092735	1.683319038	0.099582692	16.90373108	4.22E-64	3.57E-62
DNAJC12	1130.70774	4.25492645	0.252478835	16.85260649	1.00E-63	8.37E-62
CENPE	564.8510795	2.65748068	0.157694924	16.85203695	1.01E-63	8.43E-62
AGMAT	158.2953412	2.605185339	0.154629895	16.84787625	1.09E-63	9.02E-62
C2CD4A	723.1971505	4.084429427	0.242440004	16.84717604	1.10E-63	9.11E-62
PODXL2	2248.623004	3.228602538	0.192209622	16.79729924	2.55E-63	2.10E-61
GALNT14	922.9238604	3.668426004	0.218458476	16.79232623	2.78E-63	2.27E-61
CCNF	863.7761889	1.892687972	0.11276613	16.78418839	3.19E-63	2.60E-61
AC090015.1	44.55579316	6.973669648	0.415914767	16.76706431	4.25E-63	3.45E-61
NLN	1758.245608	1.394653443	0.083270286	16.74851272	5.81E-63	4.70E-61
TNFRSF21	8959.792167	1.963590098	0.117241981	16.74818252	5.84E-63	4.72E-61
AL391056.1	144.2603139	4.307055667	0.2572907	16.74003633	6.69E-63	5.40E-61
RHBDL1	236.8041518	3.182226933	0.19031148	16.72115069	9.19E-63	7.38E-61
MYO7A	780.2083068	1.978753276	0.118376258	16.71579518	1.01E-62	8.05E-61
PHKA1	1128.172043	1.643546595	0.098323711	16.7156689	1.01E-62	8.05E-61
RHBG	47.02163129	4.634410328	0.277378028	16.70792152	1.15E-62	9.15E-61
MAST1	98.08071776	3.238774827	0.194216374	16.67611623	1.96E-62	1.55E-60
FANCI	1361.968987	1.98394659	0.118973209	16.67557433	1.97E-62	1.56E-60
KCNN4	2402.868301	3.234113984	0.193968857	16.67336725	2.05E-62	1.61E-60
P2RY6	826.9134583	2.983212459	0.178945747	16.67104417	2.13E-62	1.67E-60
TCN1	1136.351133	6.725176409	0.40398084	16.64726576	3.17E-62	2.46E-60
KNOP1	893.9158365	1.137812477	0.068352191	16.64632045	3.22E-62	2.50E-60
BBOX1-AS1	83.07321376	5.588646699	0.335819527	16.64181577	3.47E-62	2.69E-60
LINC00857	186.1390674	2.266847298	0.136288643	16.63269402	4.04E-62	3.12E-60
CHEK1	747.3279668	2.227627359	0.134023296	16.62119521	4.89E-62	3.76E-60
SLC35F2	1905.224898	1.864624619	0.112236446	16.61336122	5.58E-62	4.28E-60
CDCA7	1178.609832	2.916963141	0.175777657	16.59461838	7.62E-62	5.81E-60
AOC1	1845.234571	4.972181566	0.299636214	16.59406084	7.69E-62	5.85E-60
CDKN3	410.8396973	2.879096585	0.173594782	16.58515628	8.92E-62	6.77E-60
AKR1B10	3131.352263	7.358087723	0.443975324	16.57319074	1.09E-61	8.19E-60
AL365181.2	226.3983855	5.349024645	0.324069578	16.50579077	3.33E-61	2.49E-59
C1QTNF6	1377.441283	2.271084755	0.137752097	16.48675269	4.57E-61	3.40E-59
MAD2L1	888.4556579	2.556220871	0.15504886	16.48655058	4.58E-61	3.40E-59
ADGRF4	271.7274642	4.488291365	0.272288196	16.48360607	4.81E-61	3.55E-59
ECT2	2344.150447	2.163726472	0.131350844	16.47287837	5.75E-61	4.21E-59
DLL3	157.1362419	6.649658848	0.403867607	16.46494724	6.55E-61	4.78E-59
PROM2	3918.599711	2.607305138	0.158410025	16.45921805	7.20E-61	5.24E-59
FAM136A	2150.744537	1.169591243	0.071060161	16.4591697	7.21E-61	5.24E-59
DDX11-AS1	36.56541555	2.451095043	0.149206898	16.42749145	1.22E-60	8.75E-59
CLSPN	336.0271146	2.720061073	0.165724904	16.41310998	1.54E-60	1.11E-58
LINC00942	275.333862	6.080032022	0.37053486	16.40879896	1.65E-60	1.19E-58
TMEM63C	532.4747833	4.009791358	0.244598807	16.39333983	2.13E-60	1.53E-58
DNAJC22	466.3333905	3.460674694	0.211384741	16.37144987	3.06E-60	2.17E-58
PLXNB3	979.0697212	3.38021304	0.206656262	16.35669307	3.90E-60	2.76E-58
GPX2	4843.164076	5.952072728	0.364072709	16.34858253	4.45E-60	3.15E-58
C1orf131	614.2200142	1.007869383	0.061659615	16.34569693	4.67E-60	3.29E-58
CILP2	552.4239345	3.507026897	0.21455849	16.34531865	4.70E-60	3.31E-58
FANCA	706.3592949	1.867798428	0.114317474	16.33869578	5.24E-60	3.67E-58
WFDC3	485.6748438	3.914580782	0.239985902	16.31171145	8.15E-60	5.70E-58
STYK1	444.8604533	2.601485759	0.159540356	16.30612988	8.93E-60	6.22E-58
TSACC	37.2003201	3.074389794	0.188560214	16.30455187	9.16E-60	6.37E-58
AC145343.1	52.85522933	3.070002659	0.188324907	16.30162842	9.61E-60	6.65E-58
AL365181.3	566.1066648	4.437759145	0.272318266	16.29622281	1.05E-59	7.26E-58
AL031985.3	145.0170239	1.817381137	0.111615332	16.2825402	1.31E-59	9.02E-58
ABCC3	11057.4451	2.529966028	0.155513016	16.26851624	1.65E-59	1.13E-57
