gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RGS9	97.03232761	-2.482419087	0.136819698	-18.14372588	1.44E-73	1.78E-71
AOC3	3657.782978	-2.655241446	0.146594711	-18.11280516	2.53E-73	3.11E-71
CD93	5687.443169	-2.210099995	0.122178409	-18.08912071	3.88E-73	4.75E-71
ARHGAP6	284.0789079	-2.359572826	0.130597844	-18.06747152	5.75E-73	6.94E-71
FEZ1	437.7804173	-2.161803098	0.120019204	-18.01214328	1.56E-72	1.86E-70
TNS1	15512.85142	-2.172179603	0.12097046	-17.95628128	4.29E-72	5.05E-70
SERINC1	9796.731176	-1.177269303	0.065622921	-17.93990999	5.75E-72	6.76E-70
LINC01082	6.273088307	-4.228160562	0.23596839	-17.91833461	8.48E-72	9.90E-70
RXFP1	101.5651471	-3.09947661	0.173296876	-17.88535765	1.53E-71	1.77E-69
ADPRH	861.5043802	-1.607312219	0.089901987	-17.878495	1.73E-71	2.00E-69
SOX17	169.444075	-2.712535215	0.152157801	-17.82711898	4.35E-71	4.94E-69
FXYD1	50.80578722	-2.950655975	0.165635892	-17.81410984	5.49E-71	6.22E-69
GPD1	564.9982928	-3.933624623	0.221638751	-17.7479101	1.79E-70	2.01E-68
TMEM204	1002.205981	-1.917048668	0.108385362	-17.68733918	5.25E-70	5.83E-68
AP001189.1	31.78620384	-3.059685209	0.173072885	-17.67859369	6.13E-70	6.77E-68
C14orf132	1108.110472	-2.635654916	0.149578142	-17.62058872	1.71E-69	1.84E-67
RSPO1	60.58617594	-3.596273527	0.204095675	-17.62052788	1.71E-69	1.84E-67
RHOJ	631.8858322	-1.868959735	0.106099282	-17.61519679	1.88E-69	2.02E-67
PPP1R15A	4914.382395	-1.876946976	0.106656586	-17.59804108	2.55E-69	2.72E-67
HIGD1B	198.140574	-2.793663281	0.158872839	-17.58427237	3.25E-69	3.45E-67
CAVIN1	11613.07697	-2.083007103	0.118588675	-17.56497499	4.57E-69	4.78E-67
TNNC1	649.0748913	-3.57188807	0.203515076	-17.55097532	5.85E-69	6.10E-67
GLIPR2	2223.101369	-2.216696918	0.1269332	-17.46349199	2.72E-68	2.78E-66
GIMAP6	1396.93236	-2.097073092	0.120099946	-17.4610661	2.84E-68	2.89E-66
JPH4	77.87154129	-2.598906639	0.148844552	-17.46054259	2.86E-68	2.91E-66
AC093890.1	16.20173768	-2.753809854	0.157775891	-17.45393318	3.21E-68	3.24E-66
SLIT2	1611.491095	-2.488368648	0.142690818	-17.43888423	4.18E-68	4.20E-66
EFCC1	295.5202824	-2.585183892	0.148532475	-17.40483956	7.58E-68	7.55E-66
INMT	2541.325284	-3.501322462	0.201220999	-17.40038303	8.20E-68	8.12E-66
CLIC5	3471.999991	-3.634114265	0.209008743	-17.38737917	1.03E-67	1.02E-65
LANCL1-AS1	56.72478369	-3.571212	0.20620607	-17.31865608	3.40E-67	3.30E-65
SCUBE1	378.1322092	-3.571071246	0.206289354	-17.31098173	3.89E-67	3.74E-65
HEG1	4796.335879	-2.129316241	0.123126441	-17.29373665	5.24E-67	5.02E-65
AC011899.2	176.2118212	-2.376173381	0.137870907	-17.23477006	1.46E-66	1.37E-64
NMUR1	78.11951212	-2.677501455	0.155476204	-17.2212942	1.84E-66	1.72E-64
ARHGAP31	2434.915115	-2.134072516	0.124163307	-17.18762627	3.29E-66	3.02E-64
FAM110D	84.36175253	-2.330212924	0.135889789	-17.14781467	6.53E-66	5.97E-64
NECAB1	247.5232241	-3.176178478	0.185282234	-17.14238011	7.17E-66	6.54E-64
IL3RA	613.2017823	-1.732688371	0.101201348	-17.1211985	1.03E-65	9.36E-64
HBA2	954.3568003	-4.158203164	0.242873861	-17.12083445	1.04E-65	9.39E-64
HBB	5484.39222	-4.259356272	0.249331724	-17.08308995	1.98E-65	1.78E-63
ADARB1	1299.549863	-1.762486227	0.103197768	-17.07872437	2.14E-65	1.91E-63
LMCD1	1925.026738	-1.742012059	0.10238414	-17.01447184	6.41E-65	5.65E-63
ANOS1	2489.270113	-2.802074477	0.164792145	-17.00368957	7.71E-65	6.77E-63
AL445307.1	4.309343559	-3.47523386	0.204569742	-16.98801508	1.01E-64	8.78E-63
PCAT19	330.0177638	-2.418415627	0.142518812	-16.96909761	1.39E-64	1.21E-62
GIMAP1	462.133941	-2.008987542	0.118512181	-16.95173887	1.87E-64	1.61E-62
DENND3	2650.918089	-1.737790416	0.102617226	-16.93468515	2.50E-64	2.14E-62
GPM6A	420.7191949	-4.433196206	0.262201543	-16.90759007	3.96E-64	3.35E-62
NLRC4	271.1814259	-2.074212173	0.122715215	-16.90264868	4.30E-64	3.63E-62
HBEGF	1834.347209	-2.580137806	0.152695772	-16.89724453	4.71E-64	3.97E-62
GPIHBP1	414.5634692	-3.707886891	0.21946596	-16.89504331	4.89E-64	4.11E-62
CMTM2	23.84101682	-2.306148718	0.136539929	-16.88992182	5.34E-64	4.47E-62
TENT5B	435.6620031	-2.814373888	0.166680238	-16.88486839	5.81E-64	4.86E-62
AP001189.3	29.09721939	-2.502846815	0.148589523	-16.84403286	1.16E-63	9.58E-62
LHFPL6	1591.947944	-1.712745983	0.101759287	-16.8313481	1.44E-63	1.18E-61
SNRK	1977.596831	-1.196746977	0.07125963	-16.79417897	2.69E-63	2.21E-61
THBD	2870.565522	-2.439785629	0.145454986	-16.77347543	3.82E-63	3.11E-61
HBA1	22.09413428	-4.408755354	0.263475266	-16.73309004	7.52E-63	6.05E-61
STXBP6	469.5552242	-3.388837435	0.203082958	-16.68696113	1.63E-62	1.30E-60
LTBP4	6237.668546	-2.224119667	0.13335716	-16.67791712	1.90E-62	1.51E-60
SPRYD7	750.1069894	-1.285084016	0.077114339	-16.66465715	2.37E-62	1.86E-60
LINC00656	6.769950835	-3.518877328	0.211266627	-16.6560965	2.73E-62	2.14E-60
KLF6	10190.88448	-1.7927557	0.107642471	-16.65472451	2.80E-62	2.18E-60
AC135012.3	11.859204	-4.081223816	0.24508429	-16.65232734	2.91E-62	2.27E-60
WFS1	3437.467271	-1.733806412	0.104286824	-16.625364	4.57E-62	3.52E-60
MYADM	8268.348594	-1.994303592	0.120073127	-16.60907522	5.99E-62	4.59E-60
MCEMP1	1171.147485	-4.029791333	0.242630579	-16.60875287	6.02E-62	4.60E-60
F8	997.6398849	-1.811598135	0.109236256	-16.58422032	9.06E-62	6.86E-60
AC125807.2	155.7444053	-2.15480967	0.129964826	-16.57994509	9.73E-62	7.35E-60
PPM1F	1632.112495	-1.273547714	0.076829589	-16.57626609	1.03E-61	7.80E-60
AC093278.2	176.5054708	-1.891424438	0.114217319	-16.55987416	1.36E-61	1.02E-59
CGNL1	2405.627027	-2.22478661	0.134512314	-16.53965007	1.90E-61	1.42E-59
NOTCH4	1377.674438	-1.823887762	0.110626486	-16.48689949	4.56E-61	3.40E-59
RNU6-529P	7.688776057	-2.076278605	0.125946202	-16.48544037	4.67E-61	3.46E-59
SEMA6A	618.6669855	-2.547155224	0.154520256	-16.48428033	4.76E-61	3.52E-59
TIE1	1557.399476	-1.977116645	0.119958622	-16.48165514	4.97E-61	3.66E-59
JCAD	2865.124906	-2.098340616	0.127356321	-16.47614029	5.45E-61	4.00E-59
GSTM5	201.8065158	-2.456831792	0.149138162	-16.47352871	5.69E-61	4.17E-59
SCN4B	451.0467021	-2.810874167	0.170816789	-16.45549123	7.66E-61	5.56E-59
BTNL9	582.4214084	-3.417558999	0.207788654	-16.44728399	8.77E-61	6.35E-59
PLPP3	3530.039076	-1.404803575	0.085513417	-16.42787333	1.21E-60	8.73E-59
RCAN1	2173.373341	-1.810726642	0.110223969	-16.4277031	1.21E-60	8.74E-59
FAM189A2	912.7406225	-2.933669755	0.17908257	-16.38165985	2.59E-60	1.85E-58
SESN1	1108.712563	-1.64043446	0.100161287	-16.37792921	2.75E-60	1.96E-58
ALAS2	23.10662959	-4.098888983	0.250514314	-16.36189534	3.58E-60	2.54E-58
LDLR	6339.788347	-2.123209259	0.129924598	-16.34185748	4.97E-60	3.49E-58
VSIR	2791.767587	-1.604814127	0.098409403	-16.30752834	8.73E-60	6.09E-58
RAI2	608.6656877	-2.134847181	0.130937102	-16.30437175	9.19E-60	6.38E-58
NXPH3	171.1856351	-2.4237864	0.148779249	-16.29115899	1.14E-59	7.87E-58
SIRPB1	385.6170693	-2.857229856	0.175393305	-16.29041577	1.15E-59	7.95E-58
BMPR2	5731.804461	-1.337170852	0.082190564	-16.26915294	1.63E-59	1.12E-57
PEAK1	2647.852014	-1.636887089	0.1006428	-16.26432388	1.77E-59	1.21E-57
SMIM25	728.4588082	-2.490443862	0.153261649	-16.24962201	2.25E-59	1.53E-57
CD300LG	123.7250009	-4.96399042	0.3054905	-16.24924643	2.26E-59	1.53E-57
COX7A1	291.302815	-1.934087072	0.119100625	-16.23910089	2.67E-59	1.80E-57
SPN	1552.99367	-2.29449253	0.141375611	-16.22976205	3.11E-59	2.08E-57
FRMD3	252.4432895	-2.426136629	0.149732689	-16.20311929	4.79E-59	3.19E-57
TRPV2	1502.448809	-1.898408574	0.117708515	-16.12804791	1.62E-58	1.08E-56
NCKAP5	548.2754565	-3.522060991	0.218656962	-16.10770112	2.25E-58	1.49E-56
MIR22HG	1090.992181	-1.624911632	0.100929773	-16.09942812	2.57E-58	1.70E-56
JDP2	1583.92778	-1.465531325	0.091119141	-16.08368249	3.32E-58	2.18E-56
SYNM	672.5972389	-1.842993681	0.114594803	-16.08269857	3.37E-58	2.21E-56
BCL6B	745.4956101	-1.770351596	0.11008165	-16.08216802	3.40E-58	2.23E-56
TCF21	524.3658752	-3.105580712	0.193122463	-16.0808881	3.47E-58	2.27E-56
ST8SIA6	87.17137323	-3.324720155	0.206967753	-16.06395251	4.57E-58	2.97E-56
HPS5	1617.062002	-1.130127365	0.070366277	-16.06063886	4.82E-58	3.13E-56
FHL5	169.5817809	-2.752851949	0.171480619	-16.053429	5.41E-58	3.50E-56
AC009093.3	134.2399965	-4.127846499	0.257415416	-16.03573926	7.19E-58	4.64E-56
WNT3A	111.7495966	-4.105794626	0.256092353	-16.03247645	7.58E-58	4.88E-56
SLC4A1	9.400655847	-3.449261168	0.21518106	-16.02957607	7.94E-58	5.10E-56
TACC1	6099.872782	-1.829046512	0.114460168	-15.97976433	1.77E-57	1.12E-55
AC018647.1	18.26629903	-2.69208015	0.168541382	-15.97281402	1.98E-57	1.25E-55
AC022613.2	25.31505007	-1.548690445	0.097408109	-15.89898887	6.44E-57	4.03E-55
VWF	13286.95765	-2.324241764	0.146252946	-15.89193128	7.21E-57	4.50E-55
CA4	319.2229456	-4.349848937	0.274035196	-15.87332214	9.70E-57	6.01E-55
AC021016.2	106.1261876	-1.593360655	0.10040305	-15.86964394	1.03E-56	6.34E-55
CD5L	22.07113384	-4.067723463	0.256742486	-15.84359305	1.56E-56	9.51E-55
COLEC10	21.62698583	-3.037343673	0.191912976	-15.82667173	2.04E-56	1.24E-54
CCDC85A	89.53258171	-2.819184582	0.178164179	-15.82352072	2.14E-56	1.30E-54
KIF1C	7472.125808	-1.325383655	0.083813438	-15.8134982	2.51E-56	1.52E-54
NPR1	957.1790559	-2.617622922	0.165663386	-15.80085372	3.07E-56	1.84E-54
TGFBR2	10305.12812	-1.666298326	0.105558408	-15.78555764	3.91E-56	2.32E-54
TGFBR3	1153.436583	-2.550381629	0.161708362	-15.77148883	4.89E-56	2.89E-54
PEAR1	419.5769028	-2.013324469	0.127873661	-15.74463779	7.48E-56	4.38E-54
PHACTR1	984.5911395	-2.28667634	0.145453886	-15.72097114	1.09E-55	6.36E-54
ADAMTS8	472.6112345	-3.515988006	0.223727334	-15.71550485	1.18E-55	6.91E-54
ARC	116.2743147	-3.457575201	0.220090392	-15.70979615	1.30E-55	7.52E-54
DPEP2	340.4408403	-2.194898323	0.140024694	-15.67508027	2.24E-55	1.29E-53
GYPC	1084.561154	-1.768662862	0.112901886	-15.66548554	2.60E-55	1.50E-53
FXYD6	1050.757617	-1.919074937	0.122699628	-15.64042996	3.86E-55	2.21E-53
C10orf67	41.53443897	-3.968072011	0.253975922	-15.6238118	5.01E-55	2.83E-53
SLC25A25	1344.451823	-1.661087026	0.106354657	-15.61837607	5.46E-55	3.07E-53
RS1	41.30784484	-3.747323233	0.239943288	-15.61753725	5.53E-55	3.11E-53
EPM2A	210.620275	-1.232588348	0.079138165	-15.57514446	1.07E-54	5.99E-53
OVCH1	34.92295929	-3.93049717	0.252564511	-15.56234942	1.31E-54	7.31E-53
KIF17	122.2496441	-2.005290847	0.128858789	-15.56192532	1.32E-54	7.35E-53
FGR	1355.647333	-2.113566174	0.135984665	-15.54268031	1.78E-54	9.87E-53
CMTM5	5.616611375	-2.949193261	0.189769623	-15.54091334	1.83E-54	1.01E-52
DPP6	44.14953738	-3.260196855	0.210078184	-15.51896914	2.58E-54	1.42E-52
TOM1L2	2478.8828	-1.374854273	0.08871247	-15.49786932	3.59E-54	1.96E-52
TMEM88	128.3870844	-2.148183735	0.138675475	-15.49072557	4.01E-54	2.19E-52
CLEC4M	16.11190495	-4.500122375	0.29052864	-15.48942774	4.09E-54	2.23E-52
CLDN5	1838.512483	-2.712508635	0.175134502	-15.4881454	4.17E-54	2.27E-52
ADCY4	488.9115932	-1.770223273	0.114523311	-15.45731829	6.73E-54	3.65E-52
DNASE1L3	234.7623149	-3.488896992	0.225721447	-15.45664821	6.80E-54	3.67E-52
INPP5K	2087.242804	-1.108104335	0.071722855	-15.44980791	7.57E-54	4.07E-52
COX4I2	254.6859296	-2.286676525	0.148054821	-15.44479608	8.18E-54	4.39E-52
SPARCL1	9776.639721	-1.964890007	0.127261432	-15.4397917	8.84E-54	4.74E-52
AFAP1L1	728.1050442	-1.704091278	0.110413123	-15.43377485	9.70E-54	5.19E-52
Z95114.3	19.71618439	-2.198004979	0.142632863	-15.41022826	1.40E-53	7.45E-52
ST6GALNAC6	3052.255939	-1.341648055	0.087099162	-15.40368498	1.55E-53	8.22E-52
PCDH12	1073.811565	-1.713868019	0.111441863	-15.37903234	2.26E-53	1.20E-51
FLI1	1243.04666	-1.681008455	0.109312553	-15.37800011	2.30E-53	1.21E-51
ADAMTS1	2650.221567	-2.340215768	0.15231804	-15.36400923	2.85E-53	1.50E-51
RILPL2	1351.391549	-1.314116483	0.085850971	-15.30694957	6.87E-53	3.56E-51
FREM3	23.93521837	-4.270173844	0.279030614	-15.30360339	7.23E-53	3.74E-51
SNX22	361.0284017	-1.882921499	0.123117374	-15.29371064	8.42E-53	4.35E-51
FERMT2	2551.52854	-1.416968074	0.092653046	-15.29327025	8.48E-53	4.37E-51
KIAA0040	2547.959488	-1.273594872	0.083421931	-15.26690703	1.27E-52	6.52E-51
CDO1	133.4976916	-2.690059901	0.176517548	-15.23961746	1.93E-52	9.85E-51
TSPAN18	1009.228592	-2.01675573	0.132423777	-15.22955904	2.25E-52	1.15E-50
SYNPO	6833.513652	-1.73709012	0.114081042	-15.22680802	2.35E-52	1.19E-50
INKA2	374.7096694	-1.592940942	0.104651413	-15.22139929	2.55E-52	1.29E-50
HYAL2	3765.024038	-1.293953496	0.085041154	-15.21561541	2.79E-52	1.41E-50
SELP	494.6943552	-2.321566586	0.152806709	-15.19283155	3.95E-52	1.98E-50
TNR	68.66599358	-3.842320116	0.253053404	-15.183831	4.53E-52	2.26E-50
ANKRD1	576.8451782	-4.430833727	0.292215812	-15.16288149	6.23E-52	3.11E-50
FAM162B	145.3858532	-2.291978074	0.151752087	-15.10343694	1.54E-51	7.59E-50
CBX7	1458.355971	-1.657100349	0.109723393	-15.10252551	1.56E-51	7.68E-50
KLF13	5105.842907	-1.389177113	0.092118842	-15.08027107	2.18E-51	1.07E-49
ITLN1	218.8120854	-4.769723353	0.316489429	-15.07071931	2.52E-51	1.23E-49
LAMP3	7815.531758	-2.78027475	0.184518861	-15.06769948	2.64E-51	1.29E-49
CASP12	16.87954628	-2.500740505	0.16621053	-15.04562017	3.69E-51	1.79E-49
AGTPBP1	971.1600377	-1.213411334	0.080653047	-15.04482948	3.73E-51	1.81E-49
DIPK2B	740.775038	-1.775859363	0.118181	-15.02660627	4.92E-51	2.37E-49
SEMA5A	1629.158911	-2.53342158	0.168601715	-15.02607242	4.96E-51	2.39E-49
ITM2A	1114.437872	-2.039295943	0.135771937	-15.02001071	5.43E-51	2.61E-49
CAV2	5761.908708	-2.352428371	0.156739683	-15.00850534	6.46E-51	3.10E-49
TBX3	690.4786859	-2.122786054	0.141627177	-14.98855024	8.72E-51	4.17E-49
MS4A7	2150.269985	-2.130630785	0.142198251	-14.98352319	9.41E-51	4.49E-49
ADGRE3	67.36171997	-2.857687488	0.191021161	-14.96005715	1.34E-50	6.34E-49
AC026369.3	47.94008718	-3.335749436	0.223059582	-14.95452202	1.46E-50	6.86E-49
RASGRP4	179.645693	-1.942035349	0.130100138	-14.92723507	2.19E-50	1.02E-48
TUBB1	38.81890615	-2.63901337	0.176862064	-14.9213082	2.40E-50	1.11E-48
UPK3B	1275.287537	-4.144179766	0.278351665	-14.88828805	3.93E-50	1.81E-48
UNC45B	20.22351441	-2.54550433	0.170988653	-14.88697806	4.00E-50	1.85E-48
PALMD	742.5237142	-2.041243605	0.137146438	-14.88367935	4.21E-50	1.93E-48
ASPA	83.16640144	-2.613274781	0.175665829	-14.876398	4.69E-50	2.15E-48
LINC00987	77.74415475	-1.729048404	0.116297136	-14.86750626	5.36E-50	2.45E-48
MFAP4	6246.825473	-2.652546205	0.178460311	-14.8635077	5.69E-50	2.60E-48
MYOC	38.25823922	-4.52231676	0.304419991	-14.85551833	6.41E-50	2.92E-48
PKHD1L1	114.9149112	-3.128537629	0.210989901	-14.82790226	9.67E-50	4.38E-48
GNAQ	4718.585568	-1.183150733	0.079797177	-14.82697477	9.81E-50	4.43E-48
CSF3	450.2483697	-4.669639589	0.315086611	-14.82017777	1.08E-49	4.88E-48
DKK2	260.6567004	-2.304351191	0.155509956	-14.81803001	1.12E-49	5.03E-48
CALCOCO1	3944.526978	-1.219150473	0.082312585	-14.81122806	1.24E-49	5.54E-48
AP001528.2	91.50190863	-2.353666101	0.15897345	-14.8054037	1.35E-49	6.02E-48
CD52	2690.70613	-2.361320671	0.159507285	-14.80384217	1.38E-49	6.16E-48
RBMS2	3623.059882	-1.245840531	0.084173969	-14.80078156	1.45E-49	6.44E-48
QKI	5567.0641	-1.337526657	0.090744678	-14.73945018	3.60E-49	1.58E-47
LINC01081	1.516864278	-3.275153964	0.222458061	-14.72256813	4.62E-49	2.02E-47
CD34	2735.737746	-1.67484268	0.113768823	-14.72145568	4.69E-49	2.05E-47
PLCL1	251.4990842	-1.752776914	0.119176218	-14.70743861	5.78E-49	2.51E-47
