ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0009620	response to fungus	3/29	78/18805	0.0384615384615385	24.9403183023873	8.32656158159519	0.00023208770130399	0.0162629878954023	0.0108818034061444	BTK/CAMP/CTSG	3
BP	GO:0060009	Sertoli cell development	2/29	15/18805	0.133333333333333	86.4597701149425	13.0126737563667	0.000238131605703566	0.0162629878954023	0.0108818034061444	GATA1/IL1A	2
BP	GO:0002864	regulation of acute inflammatory response to antigenic stimulus	2/29	16/18805	0.125	81.0560344827586	12.5899734387505	0.000271890150048372	0.01753691467812	0.0117342064757719	BTK/CNR1	2
BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	2/29	18/18805	0.111111111111111	72.0498084291188	11.8520378039079	0.000345997319023963	0.020085144369341	0.0134392642862992	CPA3/CTSG	2
BP	GO:0031649	heat generation	2/29	18/18805	0.111111111111111	72.0498084291188	11.8520378039079	0.000345997319023963	0.020085144369341	0.0134392642862992	CNR1/IL1A	2
BP	GO:0071222	cellular response to lipopolysaccharide	4/29	232/18805	0.0172413793103448	11.1801426872771	6.13167898891778	0.000420742209134293	0.0203091992214307	0.0135891826695824	CAMP/CTSG/GATA1/IL1A	4
BP	GO:0097529	myeloid leukocyte migration	4/29	237/18805	0.0168776371308017	10.944274698094	6.05462575334033	0.000456022986957623	0.0203091992214307	0.0135891826695824	AGER/CTSG/IL1A/PECAM1	4
BP	GO:0051781	positive regulation of cell division	3/29	99/18805	0.0303030303030303	19.649947753396	7.31185101496561	0.000468214584282848	0.0203091992214307	0.0135891826695824	FGF5/IL1A/KIF23	3
BP	GO:0007413	axonal fasciculation	2/29	21/18805	0.0952380952380952	61.7569786535304	10.9479891532465	0.000473537591313655	0.0203091992214307	0.0135891826695824	CNR1/CRTAC1	2
BP	GO:0106030	neuron projection fasciculation	2/29	21/18805	0.0952380952380952	61.7569786535304	10.9479891532465	0.000473537591313655	0.0203091992214307	0.0135891826695824	CNR1/CRTAC1	2
BP	GO:0032755	positive regulation of interleukin-6 production	3/29	102/18805	0.0294117647058824	19.0720081135903	7.19239356424255	0.000510957992978143	0.0203091992214307	0.0135891826695824	AGER/BTK/IL1A	3
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	3/29	102/18805	0.0294117647058824	19.0720081135903	7.19239356424255	0.000510957992978143	0.0203091992214307	0.0135891826695824	BRCA1/GATA1/IL1A	3
BP	GO:0097709	connective tissue replacement	2/29	22/18805	0.0909090909090909	58.9498432601881	10.6881787584857	0.000520393464930991	0.0203091992214307	0.0135891826695824	AGER/IL1A	2
BP	GO:0050727	regulation of inflammatory response	5/29	442/18805	0.0113122171945701	7.33538773599626	5.29706252236028	0.000522584733210119	0.0203091992214307	0.0135891826695824	AGER/ALOX15/BTK/CNR1/FNDC4	5
BP	GO:0071219	cellular response to molecule of bacterial origin	4/29	246/18805	0.016260162601626	10.5438744042613	5.92157951060082	0.000524785509597692	0.0203091992214307	0.0135891826695824	CAMP/CTSG/GATA1/IL1A	4
BP	GO:0060008	Sertoli cell differentiation	2/29	23/18805	0.0869565217391304	56.3868065967016	10.4453238093266	0.000569410009380933	0.0213253232545569	0.0142690861434	GATA1/IL1A	2
BP	GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	2/29	24/18805	0.0833333333333333	54.0373563218391	10.217642768182	0.00062058091212304	0.0216933119796246	0.0145153127893041	CPA3/CTSG	2
BP	GO:0032760	positive regulation of tumor necrosis factor production	3/29	110/18805	0.0272727272727273	17.6849529780564	6.89733272636837	0.000636959409425327	0.0216933119796246	0.0145153127893041	AGER/BTK/IL1A	3
BP	GO:0043410	positive regulation of MAPK cascade	5/29	464/18805	0.0107758620689655	6.98758917954816	5.13241849880738	0.0006514423105691	0.0216933119796246	0.0145153127893041	AGER/ALOX15/CHI3L1/FGF5/IL1A	5
BP	GO:0002526	acute inflammatory response	3/29	111/18805	0.027027027027027	17.5256290773532	6.8626358203983	0.000653975813339242	0.0216933119796246	0.0145153127893041	BTK/CNR1/IL1A	3
BP	GO:0032693	negative regulation of interleukin-10 production	2/29	25/18805	0.08	51.8758620689655	10.00360588819	0.000673899873794783	0.0217332709298817	0.0145420499082032	AGER/BTK	2
BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	3/29	114/18805	0.0263157894736842	17.0644283121597	6.76120359447468	0.00070676175383603	0.0221770377352333	0.0148389807775531	AGER/BTK/IL1A	3
BP	GO:0002444	myeloid leukocyte mediated immunity	3/29	116/18805	0.0258620689655172	16.7702140309156	6.69570223780202	0.00074341947707405	0.0227134213916572	0.0151978829385221	BTK/CTSG/GATA1	3
BP	GO:0002675	positive regulation of acute inflammatory response	2/29	28/18805	0.0714285714285714	46.3177339901478	9.430976882022	0.000846682315939051	0.0252050812514164	0.0168650890462354	BTK/CNR1	2
BP	GO:0090594	inflammatory response to wounding	2/29	29/18805	0.0689655172413793	44.7205707491082	9.2598908043007	0.000908530782442336	0.0261466459266211	0.0174951037615906	AGER/IL1A	2
BP	GO:0062014	negative regulation of small molecule metabolic process	3/29	125/18805	0.024	15.5627586206897	6.41996711611599	0.000923352698528392	0.0261466459266211	0.0174951037615906	BRCA1/CNR1/MST1	3
BP	GO:0030282	bone mineralization	3/29	128/18805	0.0234375	15.1980064655172	6.33434009100046	0.000988935145678234	0.027336992955534	0.0182915823937478	ALOX15/GATA1/TFAP2A	3
BP	GO:0070372	regulation of ERK1 and ERK2 cascade	4/29	296/18805	0.0135135135135135	8.76281453867661	5.29049331911047	0.00104740719170001	0.0282799941759002	0.0189225583225117	AGER/ALOX15/CHI3L1/IL1A	4
BP	GO:0002438	acute inflammatory response to antigenic stimulus	2/29	32/18805	0.0625	40.5280172413793	8.79499832959005	0.0011067518656192	0.0285541981329754	0.0191060322064789	BTK/CNR1	2
BP	GO:0010575	positive regulation of vascular endothelial growth factor production	2/29	32/18805	0.0625	40.5280172413793	8.79499832959005	0.0011067518656192	0.0285541981329754	0.0191060322064789	BRCA1/IL1A	2
BP	GO:0051873	killing by host of symbiont cells	2/29	34/18805	0.0588235294117647	38.1440162271805	8.51936442338485	0.00124940027880679	0.0315337766020582	0.0210997118022748	CAMP/CTSG	2
BP	GO:0070371	ERK1 and ERK2 cascade	4/29	319/18805	0.0125391849529781	8.13101286347422	5.04832921840903	0.00138079116996136	0.0331807128920462	0.022201700996718	AGER/ALOX15/CHI3L1/IL1A	4
BP	GO:1901099	negative regulation of signal transduction in absence of ligand	2/29	36/18805	0.0555555555555556	36.0249042145594	8.26666277011463	0.00140039184471168	0.0331807128920462	0.022201700996718	GATA1/IL1A	2
BP	GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	2/29	36/18805	0.0555555555555556	36.0249042145594	8.26666277011463	0.00140039184471168	0.0331807128920462	0.022201700996718	GATA1/IL1A	2
BP	GO:0050671	positive regulation of lymphocyte proliferation	3/29	147/18805	0.0204081632653061	13.2336382828994	5.85200030787384	0.00147330313816029	0.0342100988680819	0.0228904782307851	AGER/BTK/IL1A	3
BP	GO:0001990	regulation of systemic arterial blood pressure by hormone	2/29	38/18805	0.0526315789473684	34.1288566243194	8.03384411382705	0.00155967736732328	0.0348558522322642	0.0233225612651625	CPA3/CTSG	2
BP	GO:0032946	positive regulation of mononuclear cell proliferation	3/29	150/18805	0.02	12.9689655172414	5.78398556630698	0.00156115789498513	0.0348558522322642	0.0233225612651625	AGER/BTK/IL1A	3
BP	GO:0051702	biological process involved in interaction with symbiont	2/29	40/18805	0.05	32.4224137931034	7.8183991154742	0.00172720785664655	0.0378356287088046	0.0253163733506485	CAMP/CTSG	2
BP	GO:0008037	cell recognition	3/29	158/18805	0.0189873417721519	12.3123090353557	5.61174464573517	0.00181133721312914	0.0389437500822764	0.0260578335923841	CNR1/CRTAC1/PECAM1	3
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	3/29	165/18805	0.0181818181818182	11.7899686520376	5.47093787186972	0.00204971362134685	0.0422182650514278	0.0282488595203352	BRCA1/GATA1/IL1A	3
BP	GO:0070665	positive regulation of leukocyte proliferation	3/29	168/18805	0.0178571428571429	11.5794334975369	5.41316958646103	0.00215757573735822	0.0422182650514278	0.0282488595203352	AGER/BTK/IL1A	3
BP	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	2/29	45/18805	0.0444444444444444	28.8199233716475	7.34291246823844	0.00218178616283645	0.0422182650514278	0.0282488595203352	CPA3/CTSG	2
BP	GO:0045765	regulation of angiogenesis	4/29	363/18805	0.0110192837465565	7.14543554668947	4.64648515258919	0.00221447249112717	0.0422182650514278	0.0282488595203352	BRCA1/CAMP/CHI3L1/IL1A	4
BP	GO:0070741	response to interleukin-6	2/29	46/18805	0.0434782608695652	28.1934032983508	7.25705174420953	0.00227878229976355	0.0422182650514278	0.0282488595203352	CAMP/CHI3L1	2
BP	GO:2001239	regulation of extrinsic apoptotic signaling pathway in absence of ligand	2/29	46/18805	0.0434782608695652	28.1934032983508	7.25705174420953	0.00227878229976355	0.0422182650514278	0.0282488595203352	GATA1/IL1A	2
BP	GO:1901342	regulation of vasculature development	4/29	372/18805	0.010752688172043	6.97256210604375	4.57253159259549	0.00242010915922862	0.0422182650514278	0.0282488595203352	BRCA1/CAMP/CHI3L1/IL1A	4
BP	GO:0002673	regulation of acute inflammatory response	2/29	48/18805	0.0416666666666667	27.0186781609195	7.09327407108751	0.00247880685063989	0.0422182650514278	0.0282488595203352	BTK/CNR1	2
BP	GO:0006953	acute-phase response	2/29	48/18805	0.0416666666666667	27.0186781609195	7.09327407108751	0.00247880685063989	0.0422182650514278	0.0282488595203352	CNR1/IL1A	2
BP	GO:0008038	neuron recognition	2/29	48/18805	0.0416666666666667	27.0186781609195	7.09327407108751	0.00247880685063989	0.0422182650514278	0.0282488595203352	CNR1/CRTAC1	2
BP	GO:0042119	neutrophil activation	2/29	48/18805	0.0416666666666667	27.0186781609195	7.09327407108751	0.00247880685063989	0.0422182650514278	0.0282488595203352	CAMP/CTSG	2
BP	GO:0097028	dendritic cell differentiation	2/29	48/18805	0.0416666666666667	27.0186781609195	7.09327407108751	0.00247880685063989	0.0422182650514278	0.0282488595203352	AGER/GATA1	2
BP	GO:0032635	interleukin-6 production	3/29	177/18805	0.0169491525423729	10.9906487434249	5.24831375962927	0.00250218955823093	0.0422182650514278	0.0282488595203352	AGER/BTK/IL1A	3
BP	GO:0032675	regulation of interleukin-6 production	3/29	177/18805	0.0169491525423729	10.9906487434249	5.24831375962927	0.00250218955823093	0.0422182650514278	0.0282488595203352	AGER/BTK/IL1A	3
BP	GO:0002861	regulation of inflammatory response to antigenic stimulus	2/29	49/18805	0.0408163265306122	26.4672765657987	7.01508624176413	0.00258182327187887	0.0422182650514278	0.0282488595203352	BTK/CNR1	2
BP	GO:0045922	negative regulation of fatty acid metabolic process	2/29	49/18805	0.0408163265306122	26.4672765657987	7.01508624176413	0.00258182327187887	0.0422182650514278	0.0282488595203352	BRCA1/CNR1	2
BP	GO:2000378	negative regulation of reactive oxygen species metabolic process	2/29	49/18805	0.0408163265306122	26.4672765657987	7.01508624176413	0.00258182327187887	0.0422182650514278	0.0282488595203352	BRCA1/TFAP2A	2
BP	GO:0031214	biomineral tissue development	3/29	182/18805	0.0164835164835165	10.6887078438803	5.16177790788048	0.00270755305168442	0.0436592929584113	0.0292130723997529	ALOX15/GATA1/TFAP2A	3
BP	GO:0050900	leukocyte migration	4/29	395/18805	0.010126582278481	6.56656481885639	4.39421706126203	0.00300499515583474	0.0467854252152662	0.0313048132815327	AGER/CTSG/IL1A/PECAM1	4
BP	GO:0043303	mast cell degranulation	2/29	53/18805	0.0377358490566038	24.469746258946	6.72426954267338	0.00301377726847296	0.0467854252152662	0.0313048132815327	BTK/GATA1	2
BP	GO:0051302	regulation of cell division	3/29	190/18805	0.0157894736842105	10.2386569872958	5.0301009959159	0.00305732603633054	0.0467854252152662	0.0313048132815327	FGF5/IL1A/KIF23	3
BP	GO:0032640	tumor necrosis factor production	3/29	191/18805	0.0157068062827225	10.1850514533309	5.01419251498467	0.00310290933813566	0.0467854252152662	0.0313048132815327	AGER/BTK/IL1A	3
BP	GO:0032680	regulation of tumor necrosis factor production	3/29	191/18805	0.0157068062827225	10.1850514533309	5.01419251498467	0.00310290933813566	0.0467854252152662	0.0313048132815327	AGER/BTK/IL1A	3
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	3/29	196/18805	0.0153061224489796	9.92522871217452	4.93637851608799	0.00333712143473689	0.0470168579355275	0.0314596683044737	AGER/BTK/IL1A	3
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	3/29	196/18805	0.0153061224489796	9.92522871217452	4.93637851608799	0.00333712143473689	0.0470168579355275	0.0314596683044737	AGER/BTK/IL1A	3
BP	GO:0002279	mast cell activation involved in immune response	2/29	56/18805	0.0357142857142857	23.1588669950739	6.52642109306912	0.00335845917911205	0.0470168579355275	0.0314596683044737	BTK/GATA1	2
BP	GO:0002448	mast cell mediated immunity	2/29	56/18805	0.0357142857142857	23.1588669950739	6.52642109306912	0.00335845917911205	0.0470168579355275	0.0314596683044737	BTK/GATA1	2
BP	GO:0036230	granulocyte activation	2/29	56/18805	0.0357142857142857	23.1588669950739	6.52642109306912	0.00335845917911205	0.0470168579355275	0.0314596683044737	CAMP/CTSG	2
BP	GO:0006979	response to oxidative stress	4/29	408/18805	0.00980392156862745	6.35733603786342	4.29959993397663	0.00337525536761755	0.0470168579355275	0.0314596683044737	BTK/DUOX1/IL1A/TRPA1	4
BP	GO:0018108	peptidyl-tyrosine phosphorylation	3/29	198/18805	0.0151515151515152	9.82497387669802	4.90603256605962	0.00343376761299776	0.0470168579355275	0.0314596683044737	BTK/GATA1/PECAM1	3
BP	GO:0002886	regulation of myeloid leukocyte mediated immunity	2/29	57/18805	0.0350877192982456	22.7525710828796	6.46387774579478	0.00347726760392171	0.0470168579355275	0.0314596683044737	BTK/GATA1	2
BP	GO:0018212	peptidyl-tyrosine modification	3/29	199/18805	0.0150753768844221	9.77560214867441	4.89102111385561	0.00348273021744648	0.0470168579355275	0.0314596683044737	BTK/GATA1/PECAM1	3
BP	GO:0001934	positive regulation of protein phosphorylation	4/29	414/18805	0.00966183574879227	6.26520073296685	4.2573074362976	0.00355623957401211	0.0472571927605046	0.03162047985607	AGER/CHI3L1/GATA1/PECAM1	4
BP	GO:0000302	response to reactive oxygen species	3/29	201/18805	0.0149253731343284	9.67833247555327	4.86131462479192	0.00358194053654126	0.0472571927605046	0.03162047985607	BTK/IL1A/TRPA1	3
BP	GO:0002695	negative regulation of leukocyte activation	3/29	204/18805	0.0147058823529412	9.53600405679513	4.81752671948788	0.00373398679452358	0.0487096479600211	0.0325923389042981	BTK/CNR1/CTSG	3
BP	GO:0010574	regulation of vascular endothelial growth factor production	2/29	62/18805	0.032258064516129	20.9176863181313	6.1735896975302	0.00410040393151611	0.0523712751082174	0.0350423872613123	BRCA1/IL1A	2
BP	GO:0007059	chromosome segregation	4/29	431/18805	0.00928074245939675	6.01808144651572	4.14187575282788	0.00410489753216863	0.0523712751082174	0.0350423872613123	BRCA1/KIF23/MKI67/SRPK1	4
BP	GO:0007159	leukocyte cell-cell adhesion	4/29	433/18805	0.0092378752886836	5.99028430357569	4.12870259669067	0.00417301460219438	0.0526616299255182	0.0352366679224194	AGER/CTSG/IL1A/PECAM1	4
BP	GO:0042327	positive regulation of phosphorylation	4/29	437/18805	0.0091533180778032	5.93545332596859	4.10260225337077	0.00431155067075347	0.0531584827770998	0.0355691194428574	AGER/CHI3L1/GATA1/PECAM1	4
BP	GO:0010573	vascular endothelial growth factor production	2/29	65/18805	0.0307692307692308	19.9522546419098	6.01527310428689	0.0044973510616751	0.0531584827770998	0.0355691194428574	BRCA1/IL1A	2
BP	GO:0032757	positive regulation of interleukin-8 production	2/29	65/18805	0.0307692307692308	19.9522546419098	6.01527310428689	0.0044973510616751	0.0531584827770998	0.0355691194428574	CAMP/CHI3L1	2
BP	GO:0002819	regulation of adaptive immune response	3/29	219/18805	0.0136986301369863	8.88285309400094	4.61142453600922	0.00455341586591906	0.0531584827770998	0.0355691194428574	AGER/ALOX15/BTK	3
BP	GO:0071356	cellular response to tumor necrosis factor	3/29	219/18805	0.0136986301369863	8.88285309400094	4.61142453600922	0.00455341586591906	0.0531584827770998	0.0355691194428574	BRCA1/CAMP/CHI3L1	3
BP	GO:0032613	interleukin-10 production	2/29	66/18805	0.0303030303030303	19.649947753396	5.96484226442926	0.00463347617374722	0.0531584827770998	0.0355691194428574	AGER/BTK	2
BP	GO:0032653	regulation of interleukin-10 production	2/29	66/18805	0.0303030303030303	19.649947753396	5.96484226442926	0.00463347617374722	0.0531584827770998	0.0355691194428574	AGER/BTK	2
BP	GO:0052548	regulation of endopeptidase activity	2/29	66/18805	0.0303030303030303	19.649947753396	5.96484226442926	0.00463347617374722	0.0531584827770998	0.0355691194428574	AGER/SERPINH1	2
BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	2/29	66/18805	0.0303030303030303	19.649947753396	5.96484226442926	0.00463347617374722	0.0531584827770998	0.0355691194428574	GATA1/IL1A	2
BP	GO:0002064	epithelial cell development	3/29	221/18805	0.0135746606334842	8.80246528319551	4.58543947419924	0.00467025430083047	0.0531584827770998	0.0355691194428574	GATA1/IL1A/PECAM1	3
BP	GO:0050832	defense response to fungus	2/29	67/18805	0.0298507462686567	19.3566649511065	5.91550937712415	0.00477149636562032	0.0537835658299533	0.035987371669165	CAMP/CTSG	2
BP	GO:0038034	signal transduction in absence of ligand	2/29	68/18805	0.0294117647058824	19.0720081135903	5.86723418169373	0.0049114058828865	0.0548282906733772	0.0366864123640712	GATA1/IL1A	2
BP	GO:0050866	negative regulation of cell activation	3/29	227/18805	0.013215859030837	8.56980100258241	4.50941799958838	0.00503166924497618	0.0556358856515937	0.0372267859929065	BTK/CNR1/CTSG	3
BP	GO:0071674	mononuclear cell migration	3/29	230/18805	0.0130434782608696	8.45802098950525	4.47245201785284	0.00521855832374017	0.0571579831496447	0.0382452437231405	AGER/CTSG/PECAM1	3
BP	GO:0097191	extrinsic apoptotic signaling pathway	3/29	237/18805	0.0126582278481013	8.20820602357049	4.38875545484054	0.00567084383799658	0.06153130556929	0.0411714978105409	BRCA1/GATA1/IL1A	3
BP	GO:0006909	phagocytosis	3/29	238/18805	0.0126050420168067	8.17371776296726	4.37707993527344	0.00573732280081064	0.0616762201087143	0.0412684622514449	ALOX15/BTK/PECAM1	3
BP	GO:0034612	response to tumor necrosis factor	3/29	241/18805	0.012448132780083	8.07197023894692	4.34245921006542	0.00593958035901706	0.0624842013388066	0.0418090943270677	BRCA1/CAMP/CHI3L1	3
BP	GO:0050670	regulation of lymphocyte proliferation	3/29	243/18805	0.0123456790123457	8.00553426990209	4.31971004619156	0.00607677840386101	0.0624842013388066	0.0418090943270677	AGER/BTK/IL1A	3
BP	GO:2001234	negative regulation of apoptotic signaling pathway	3/29	243/18805	0.0123456790123457	8.00553426990209	4.31971004619156	0.00607677840386101	0.0624842013388066	0.0418090943270677	BRCA1/GATA1/IL1A	3
BP	GO:0045123	cellular extravasation	2/29	76/18805	0.0263157894736842	17.0644283121597	5.51489639554899	0.00609801121580678	0.0624842013388066	0.0418090943270677	AGER/PECAM1	2
BP	GO:0070527	platelet aggregation	2/29	76/18805	0.0263157894736842	17.0644283121597	5.51489639554899	0.00609801121580678	0.0624842013388066	0.0418090943270677	CTSG/GATA1	2
BP	GO:0002443	leukocyte mediated immunity	4/29	483/18805	0.0082815734989648	5.37017205682873	3.82391512058465	0.00613539961466318	0.0624842013388066	0.0418090943270677	AGER/BTK/CTSG/GATA1	4
BP	GO:0072593	reactive oxygen species metabolic process	3/29	245/18805	0.0122448979591837	7.94018296973962	4.29721970390526	0.00621587256500198	0.0627532873736287	0.0419891437342925	BRCA1/DUOX1/TFAP2A	3
BP	GO:0032944	regulation of mononuclear cell proliferation	3/29	248/18805	0.0120967741935484	7.84413236929922	4.26395820283843	0.00642808443395489	0.0643019810907996	0.0430253973842968	AGER/BTK/IL1A	3
BP	GO:0019731	antibacterial humoral response	2/29	79/18805	0.0253164556962025	16.416412047141	5.39631046094453	0.00657347243744891	0.0643019810907996	0.0430253973842968	CAMP/CTSG	2
BP	GO:0010562	positive regulation of phosphorus metabolic process	4/29	493/18805	0.00811359026369168	5.26124361754214	3.76803141948463	0.00659081459931538	0.0643019810907996	0.0430253973842968	AGER/CHI3L1/GATA1/PECAM1	4
BP	GO:0045937	positive regulation of phosphate metabolic process	4/29	493/18805	0.00811359026369168	5.26124361754214	3.76803141948463	0.00659081459931538	0.0643019810907996	0.0430253973842968	AGER/CHI3L1/GATA1/PECAM1	4
BP	GO:0002437	inflammatory response to antigenic stimulus	2/29	80/18805	0.025	16.2112068965517	5.35821746597235	0.00673560942762844	0.0651670212123052	0.0436042083999105	BTK/CNR1	2
BP	GO:0045785	positive regulation of cell adhesion	4/29	499/18805	0.00801603206412826	5.19798217123903	3.73522455137322	0.00687463947058532	0.0656589469204864	0.0439333630965311	AGER/ALOX15/CTSG/IL1A	4
BP	GO:0043299	leukocyte degranulation	2/29	81/18805	0.0246913580246914	16.0110685398042	5.32080549148078	0.00689956203643354	0.0656589469204864	0.0439333630965311	BTK/GATA1	2
BP	GO:0030500	regulation of bone mineralization	2/29	82/18805	0.024390243902439	15.8158116063919	5.2840538692938	0.00706532467801196	0.066689771960747	0.0446231032295492	GATA1/TFAP2A	2
BP	GO:0002703	regulation of leukocyte mediated immunity	3/29	260/18805	0.0115384615384615	7.48209549071618	4.13629268167817	0.00732021212952833	0.0685384377611483	0.0458600725941588	AGER/BTK/GATA1	3
BP	GO:0001906	cell killing	3/29	263/18805	0.0114068441064639	7.3967483938639	4.10564539449456	0.00755417414451163	0.0697836291670776	0.0466932484022878	AGER/CAMP/CTSG	3
BP	GO:0032418	lysosome localization	2/29	85/18805	0.0235294117647059	15.2576064908722	5.17756722703696	0.00757341711890765	0.0697836291670776	0.0466932484022878	BTK/GATA1	2
BP	GO:1990849	vacuolar localization	2/29	86/18805	0.0232558139534884	15.0801924619086	5.1432670754117	0.00774636427029815	0.070815188329261	0.0473834797470372	BTK/GATA1	2
BP	GO:0052547	regulation of peptidase activity	2/29	87/18805	0.0229885057471264	14.9068569163694	5.10953611426199	0.00792109370294508	0.0718467952274941	0.0480737430326766	AGER/SERPINH1	2
BP	GO:0070663	regulation of leukocyte proliferation	3/29	273/18805	0.010989010989011	7.12580522925351	4.00687638099018	0.00836604004311618	0.0752943603880456	0.050380559378374	AGER/BTK/IL1A	3
BP	GO:0051591	response to cAMP	2/29	91/18805	0.021978021978022	14.251610458507	4.97999178643486	0.00863772412415488	0.0771415208318755	0.0516165214868526	DUOX1/GATA1	2
BP	GO:0007611	learning or memory	3/29	282/18805	0.0106382978723404	6.89838591342627	3.92215413143685	0.00913925009594627	0.0802542719375687	0.0536993088443952	AGER/CNR1/RASGRF1	3
BP	GO:0140014	mitotic nuclear division	3/29	282/18805	0.0106382978723404	6.89838591342627	3.92215413143685	0.00913925009594627	0.0802542719375687	0.0536993088443952	IL1A/KIF23/MKI67	3
BP	GO:0050886	endocrine process	2/29	94/18805	0.0212765957446809	13.7967718268525	4.88808146926238	0.00919364183264138	0.0802542719375687	0.0536993088443952	CPA3/CTSG	2
BP	GO:0046330	positive regulation of JNK cascade	2/29	97/18805	0.0206185567010309	13.3700675435478	4.8002829725402	0.00976520601945571	0.0846074939446872	0.0566121134513615	AGER/IL1A	2
BP	GO:0002275	myeloid cell activation involved in immune response	2/29	98/18805	0.0204081632653061	13.2336382828994	4.771876354616	0.00995917913692978	0.0856489405775961	0.0573089606475959	BTK/GATA1	2
BP	GO:0060349	bone morphogenesis	2/29	100/18805	0.02	12.9689655172414	4.71628826067495	0.0103522706164967	0.0883748984246518	0.0591329389703912	SERPINH1/TFAP2A	2
BP	GO:0034109	homotypic cell-cell adhesion	2/29	101/18805	0.0198019801980198	12.8405599180608	4.68908668855534	0.0105513782395128	0.0894171542779154	0.0598303276278177	CTSG/GATA1	2
BP	GO:0003073	regulation of systemic arterial blood pressure	2/29	102/18805	0.0196078431372549	12.7146720757268	4.66226727628061	0.0107521866444435	0.0896333837491103	0.0599750099341252	CPA3/CTSG	2
