gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SERPINH1	12782.14562	1.085759066	0.098868576	10.9818419	4.67e-28	6.57e-27
SLC44A3-AS1	162.6650793	1.60400785	0.109162951	14.69370181	7.07e-49	3.06e-47
SLCO4A1-AS1	51.2019971	1.528221928	0.294957153	5.181165857	2.21e-07	6.24e-07
SLX1A-SULT1A3	5.66937155	1.520252331	0.213858831	7.108672205	1.17e-12	5.54e-12
SMAD5-AS1	5.778894208	1.258481874	0.290548527	4.331399939	1.48e-05	3.37e-05
SNHG1	1716.455109	1.590138522	0.114032309	13.94463141	3.39e-44	1.15e-42
SNHG12	750.217196	1.082402489	0.11849564	9.134534333	6.57e-20	5.35e-19
SNORD15A	1.426717497	1.773436249	0.369968128	4.79348385	1.64e-06	4.2e-06
SRPK1	4036.025132	1.583253861	0.079589869	19.89265561	4.71e-88	1.25e-85
TAC1	16.54071344	1.305355118	0.619963015	2.105537084	0.035244583	0.048414296
TFAP2A	716.4706022	3.73811419	0.203524293	18.3669189	2.42e-75	3.21e-73
TMPO-AS1	112.0980293	1.562430046	0.131801853	11.85438604	2.04e-32	3.73e-31
TP63	702.9984883	1.039103061	0.272256424	3.816633767	0.000135285	0.00027085
TRAF2	1451.37818	1.012092294	0.100979942	10.02270624	1.21e-23	1.29e-22
TRIM31	434.4083079	3.939550322	0.274097042	14.37283047	7.66e-47	3e-45
TRPA1	44.48240246	2.385702354	0.2849463	8.372463011	5.64e-17	3.71e-16
TRPM2	771.9903657	1.225570947	0.140351066	8.732181255	2.5e-18	1.82e-17
UTS2	20.25403288	1.121972419	0.264867397	4.235977825	2.28e-05	5.06e-05
ZBP1	267.0247424	1.217005221	0.157983744	7.703357268	1.33e-14	7.32e-14
ZFPM2-AS1	168.7102459	5.408111631	0.266395315	20.30107633	1.26e-91	3.94e-89
